sku,image,thumbnail,small_image,image_label,thumbnail_label,small_image_label,gallery
FA-3023-1-RAL6027/WALNUT,/1/7/17_2_.jpg,/1/7/17_2_.jpg,/1/7/17_2_.jpg,,,,
FA-3023-1-GUNMETAL/WALNUT,/1/9/19_3_.jpg,/1/9/19_3_.jpg,/1/9/19_3_.jpg,,,,
FA-1028-RAL6027/G1410,/0/7/07_2_copy.jpg,/0/7/07_2_copy.jpg,/0/7/07_2_copy.jpg,,,,
FA-3023-2-RAL6027/WALNUT,/2/2/22_2__1.jpg,/2/2/22_2__1.jpg,/2/2/22_2__1.jpg,,,,
FA-3023-2-BLACK/WALNUT,/2/6/26_2_.jpg,/2/6/26_2_.jpg,/2/6/26_2_.jpg,,,,
210-APP-RED,/2/0/20150227-8_nomadchair_red_3.jpg,/2/0/20150227-8_nomadchair_red_3.jpg,/2/0/20150227-8_nomadchair_red_3.jpg,,,,
FA-6020-1-ROSEGOLD/WALNUT,/4/_/4_20150127-chair_304_copy.jpg,/4/_/4_20150127-chair_304_copy.jpg,/4/_/4_20150127-chair_304_copy.jpg,,,,
FA-6020-1-BLACK/WALNUT,/3/_/3_20150127-chair_305_copy_1.jpg,/3/_/3_20150127-chair_305_copy_1.jpg,/3/_/3_20150127-chair_305_copy_1.jpg,,,,
FA-6020-3-ROSEGOLD/WALNUT,/3/_/3_20150128-front_birdcagecocktailtable_walnutoncopper_1.jpg,/3/_/3_20150128-front_birdcagecocktailtable_walnutoncopper_1.jpg,/3/_/3_20150128-front_birdcagecocktailtable_walnutoncopper_1.jpg,,,,
FA-6020-3-BLACK/WALNUT,/4/_/4_20150128-front_birdcagecocktailtable_walnutonblack_1_1.jpg,/4/_/4_20150128-front_birdcagecocktailtable_walnutonblack_1_1.jpg,/4/_/4_20150128-front_birdcagecocktailtable_walnutonblack_1_1.jpg,,,,
FA-6020-2-ROSEGOLD/WHITEMARBLE,/2/_/2__2_20150127-chair_301_copy.jpg,/2/_/2__2_20150127-chair_301_copy.jpg,/2/_/2__2_20150127-chair_301_copy.jpg,,,,
FA-6020-4-ROSEGOLD/WHITEMARBLE,/6/_/6_20150128-birdcagecocktailtable_marbleoncopper_3_1.jpg,/6/_/6_20150128-birdcagecocktailtable_marbleoncopper_3_1.jpg,/6/_/6_20150128-birdcagecocktailtable_marbleoncopper_3_1.jpg,,,,
